,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,0.0,Sun Oct 07 18:05:03 +0000 2018,1.0,0.0,0.0,1,BBC
1,0.0,Sun Oct 07 17:03:03 +0000 2018,1.0,0.0,0.0,2,BBC
2,0.0,Sun Oct 07 16:45:07 +0000 2018,1.0,0.0,0.0,3,BBC
3,0.5859,Sun Oct 07 16:04:02 +0000 2018,0.84,0.0,0.16,4,BBC
4,0.8126,Sun Oct 07 15:43:54 +0000 2018,0.684,0.0,0.316,5,BBC
5,0.3182,Sun Oct 07 15:07:04 +0000 2018,0.905,0.0,0.095,6,BBC
6,-0.5719,Sun Oct 07 14:33:00 +0000 2018,0.558,0.307,0.135,7,BBC
7,0.5859,Sun Oct 07 13:18:06 +0000 2018,0.826,0.0,0.174,8,BBC
8,0.0258,Sun Oct 07 11:07:07 +0000 2018,0.645,0.0,0.355,9,BBC
9,0.5574,Sun Oct 07 10:06:05 +0000 2018,0.816,0.0,0.184,10,BBC
10,0.0,Sun Oct 07 09:07:07 +0000 2018,0.763,0.119,0.119,11,BBC
11,-0.1779,Sun Oct 07 08:25:19 +0000 2018,0.659,0.192,0.15,12,BBC
12,0.5719,Sun Oct 07 08:05:06 +0000 2018,0.802,0.0,0.198,13,BBC
13,0.6696,Sun Oct 07 07:03:00 +0000 2018,0.817,0.0,0.183,14,BBC
14,0.7227,Sat Oct 06 21:04:05 +0000 2018,0.79,0.0,0.21,15,BBC
15,-0.1027,Sat Oct 06 19:31:09 +0000 2018,0.649,0.202,0.149,16,BBC
16,0.0,Sat Oct 06 18:06:06 +0000 2018,1.0,0.0,0.0,17,BBC
17,0.0,Sat Oct 06 17:07:02 +0000 2018,1.0,0.0,0.0,18,BBC
18,0.4939,Sat Oct 06 16:05:06 +0000 2018,0.819,0.0,0.181,19,BBC
19,-0.5574,Sat Oct 06 15:54:44 +0000 2018,0.735,0.265,0.0,20,BBC
20,0.0,Sat Oct 06 15:32:00 +0000 2018,1.0,0.0,0.0,21,BBC
21,-0.4189,Sat Oct 06 15:11:07 +0000 2018,0.655,0.238,0.108,22,BBC
22,0.0,Sat Oct 06 14:06:03 +0000 2018,1.0,0.0,0.0,23,BBC
23,-0.4939,Sat Oct 06 13:10:02 +0000 2018,0.775,0.225,0.0,24,BBC
24,-0.4588,Sat Oct 06 12:08:01 +0000 2018,0.769,0.231,0.0,25,BBC
25,0.5095,Sat Oct 06 11:07:05 +0000 2018,0.586,0.127,0.288,26,BBC
26,-0.128,Sat Oct 06 10:03:00 +0000 2018,0.711,0.154,0.134,27,BBC
27,-0.4767,Sat Oct 06 09:08:03 +0000 2018,0.795,0.205,0.0,28,BBC
28,0.4939,Sat Oct 06 08:07:02 +0000 2018,0.856,0.0,0.144,29,BBC
29,0.2732,Sat Oct 06 07:40:34 +0000 2018,0.823,0.066,0.111,30,BBC
30,0.7003,Sat Oct 06 07:08:02 +0000 2018,0.655,0.0,0.345,31,BBC
31,-0.8074,Fri Oct 05 19:04:05 +0000 2018,0.644,0.356,0.0,32,BBC
32,0.0,Fri Oct 05 18:08:03 +0000 2018,1.0,0.0,0.0,33,BBC
33,0.0,Fri Oct 05 17:03:08 +0000 2018,1.0,0.0,0.0,34,BBC
34,0.0,Fri Oct 05 16:05:04 +0000 2018,1.0,0.0,0.0,35,BBC
35,0.3612,Fri Oct 05 15:32:37 +0000 2018,0.872,0.0,0.128,36,BBC
36,0.7717,Fri Oct 05 14:06:12 +0000 2018,0.642,0.0,0.358,37,BBC
37,0.3612,Fri Oct 05 14:06:04 +0000 2018,0.889,0.0,0.111,38,BBC
38,0.0,Fri Oct 05 13:55:03 +0000 2018,1.0,0.0,0.0,39,BBC
39,-0.1027,Fri Oct 05 13:02:07 +0000 2018,0.909,0.091,0.0,40,BBC
40,0.1779,Fri Oct 05 12:33:00 +0000 2018,0.657,0.131,0.211,41,BBC
41,0.0,Fri Oct 05 12:03:07 +0000 2018,1.0,0.0,0.0,42,BBC
42,0.8555,Fri Oct 05 11:03:05 +0000 2018,0.669,0.0,0.331,43,BBC
43,0.743,Fri Oct 05 10:00:25 +0000 2018,0.674,0.0,0.326,44,BBC
44,0.3818,Fri Oct 05 09:32:19 +0000 2018,0.478,0.22,0.303,45,BBC
45,0.7414,Fri Oct 05 09:27:55 +0000 2018,0.77,0.0,0.23,46,BBC
46,-0.6705,Fri Oct 05 09:08:05 +0000 2018,0.8,0.2,0.0,47,BBC
47,0.5994,Fri Oct 05 08:00:11 +0000 2018,0.804,0.0,0.196,48,BBC
48,0.5719,Fri Oct 05 07:08:05 +0000 2018,0.719,0.0,0.281,49,BBC
49,0.0,Fri Oct 05 06:11:03 +0000 2018,1.0,0.0,0.0,50,BBC
50,0.0,Thu Oct 04 20:06:04 +0000 2018,1.0,0.0,0.0,51,BBC
51,-0.5209,Thu Oct 04 19:01:08 +0000 2018,0.673,0.227,0.101,52,BBC
