,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,-0.296,Sun Oct 07 18:00:00 +0000 2018,0.891,0.109,0.0,1,CBSNews
1,-0.296,Sun Oct 07 17:39:53 +0000 2018,0.804,0.196,0.0,2,CBSNews
2,-0.8591,Sun Oct 07 17:30:43 +0000 2018,0.557,0.361,0.082,3,CBSNews
3,-0.4019,Sun Oct 07 17:19:49 +0000 2018,0.735,0.167,0.098,4,CBSNews
4,0.0,Sun Oct 07 16:59:36 +0000 2018,1.0,0.0,0.0,5,CBSNews
5,0.5574,Sun Oct 07 16:39:58 +0000 2018,0.841,0.0,0.159,6,CBSNews
6,0.5256,Sun Oct 07 16:34:14 +0000 2018,0.866,0.0,0.134,7,CBSNews
7,-0.6705,Sun Oct 07 15:55:57 +0000 2018,0.586,0.301,0.113,8,CBSNews
8,0.25,Sun Oct 07 15:39:49 +0000 2018,0.714,0.121,0.165,9,CBSNews
9,-0.7717,Sun Oct 07 15:19:49 +0000 2018,0.66,0.34,0.0,10,CBSNews
10,0.5574,Sun Oct 07 15:17:32 +0000 2018,0.841,0.0,0.159,11,CBSNews
11,-0.4404,Sun Oct 07 15:00:34 +0000 2018,0.854,0.146,0.0,12,CBSNews
12,-0.6705,Sun Oct 07 14:59:42 +0000 2018,0.816,0.184,0.0,13,CBSNews
13,-0.4588,Sun Oct 07 14:54:35 +0000 2018,0.85,0.15,0.0,14,CBSNews
14,-0.5859,Sun Oct 07 14:46:28 +0000 2018,0.798,0.202,0.0,15,CBSNews
15,0.5719,Sun Oct 07 14:39:47 +0000 2018,0.812,0.0,0.188,16,CBSNews
16,0.1027,Sun Oct 07 14:39:28 +0000 2018,0.609,0.165,0.226,17,CBSNews
17,0.0,Sun Oct 07 14:31:06 +0000 2018,1.0,0.0,0.0,18,CBSNews
18,0.6369,Sun Oct 07 14:19:55 +0000 2018,0.769,0.0,0.231,19,CBSNews
19,0.4404,Sun Oct 07 14:00:01 +0000 2018,0.879,0.0,0.121,20,CBSNews
20,0.0,Sun Oct 07 13:41:22 +0000 2018,1.0,0.0,0.0,21,CBSNews
21,-0.6874,Sun Oct 07 13:39:34 +0000 2018,0.51,0.348,0.142,22,CBSNews
22,-0.6597,Sun Oct 07 13:19:35 +0000 2018,0.714,0.286,0.0,23,CBSNews
23,-0.3182,Sun Oct 07 13:03:05 +0000 2018,0.588,0.248,0.163,24,CBSNews
24,-0.3182,Sun Oct 07 12:48:03 +0000 2018,0.796,0.204,0.0,25,CBSNews
25,0.5859,Sun Oct 07 12:33:03 +0000 2018,0.759,0.0,0.241,26,CBSNews
26,0.0,Sun Oct 07 12:18:04 +0000 2018,1.0,0.0,0.0,27,CBSNews
27,-0.2755,Sun Oct 07 12:03:04 +0000 2018,0.86,0.14,0.0,28,CBSNews
28,-0.4588,Sun Oct 07 11:54:06 +0000 2018,0.786,0.214,0.0,29,CBSNews
29,-0.25,Sun Oct 07 11:48:04 +0000 2018,0.818,0.182,0.0,30,CBSNews
30,-0.5423,Sun Oct 07 11:33:02 +0000 2018,0.8,0.2,0.0,31,CBSNews
31,0.0,Sun Oct 07 11:18:03 +0000 2018,1.0,0.0,0.0,32,CBSNews
32,0.0,Sun Oct 07 11:03:03 +0000 2018,1.0,0.0,0.0,33,CBSNews
33,0.6124,Sun Oct 07 10:48:04 +0000 2018,0.706,0.0,0.294,34,CBSNews
34,0.3818,Sun Oct 07 10:33:04 +0000 2018,0.822,0.0,0.178,35,CBSNews
35,0.0,Sun Oct 07 10:18:03 +0000 2018,1.0,0.0,0.0,36,CBSNews
36,0.0,Sun Oct 07 10:03:04 +0000 2018,1.0,0.0,0.0,37,CBSNews
37,0.0,Sun Oct 07 09:48:03 +0000 2018,1.0,0.0,0.0,38,CBSNews
38,-0.6908,Sun Oct 07 09:33:03 +0000 2018,0.678,0.322,0.0,39,CBSNews
39,0.4215,Sun Oct 07 09:18:03 +0000 2018,0.823,0.0,0.177,40,CBSNews
40,0.0,Sun Oct 07 09:03:05 +0000 2018,1.0,0.0,0.0,41,CBSNews
41,-0.5574,Sun Oct 07 08:48:03 +0000 2018,0.735,0.265,0.0,42,CBSNews
42,0.1531,Sun Oct 07 08:33:04 +0000 2018,0.672,0.142,0.187,43,CBSNews
43,0.4019,Sun Oct 07 08:18:03 +0000 2018,0.856,0.0,0.144,44,CBSNews
44,0.0,Sun Oct 07 08:03:04 +0000 2018,1.0,0.0,0.0,45,CBSNews
45,-0.9274,Sun Oct 07 07:48:04 +0000 2018,0.469,0.531,0.0,46,CBSNews
46,0.0,Sun Oct 07 07:33:03 +0000 2018,1.0,0.0,0.0,47,CBSNews
47,-0.2023,Sun Oct 07 07:18:03 +0000 2018,0.696,0.177,0.127,48,CBSNews
48,0.0,Sun Oct 07 07:03:03 +0000 2018,1.0,0.0,0.0,49,CBSNews
49,0.0,Sun Oct 07 06:48:03 +0000 2018,1.0,0.0,0.0,50,CBSNews
50,0.2023,Sun Oct 07 06:33:03 +0000 2018,0.588,0.176,0.235,51,CBSNews
51,0.0,Sun Oct 07 06:18:04 +0000 2018,1.0,0.0,0.0,52,CBSNews
52,0.0,Sun Oct 07 06:08:05 +0000 2018,1.0,0.0,0.0,53,CBSNews
53,-0.6705,Sun Oct 07 06:03:03 +0000 2018,0.645,0.355,0.0,54,CBSNews
54,-0.6486,Sun Oct 07 05:54:05 +0000 2018,0.699,0.301,0.0,55,CBSNews
55,-0.8176,Sun Oct 07 05:48:03 +0000 2018,0.541,0.459,0.0,56,CBSNews
56,0.0,Sun Oct 07 05:33:04 +0000 2018,1.0,0.0,0.0,57,CBSNews
57,0.0,Sun Oct 07 05:18:04 +0000 2018,1.0,0.0,0.0,58,CBSNews
58,0.0,Sun Oct 07 05:03:04 +0000 2018,1.0,0.0,0.0,59,CBSNews
59,0.8807,Sun Oct 07 04:54:04 +0000 2018,0.469,0.0,0.531,60,CBSNews
60,-0.6908,Sun Oct 07 04:48:03 +0000 2018,0.657,0.343,0.0,61,CBSNews
61,0.4404,Sun Oct 07 04:33:04 +0000 2018,0.818,0.0,0.182,62,CBSNews
62,0.2732,Sun Oct 07 04:18:05 +0000 2018,0.829,0.0,0.171,63,CBSNews
63,0.0,Sun Oct 07 04:03:03 +0000 2018,1.0,0.0,0.0,64,CBSNews
64,0.0,Sun Oct 07 03:48:03 +0000 2018,1.0,0.0,0.0,65,CBSNews
65,0.7906,Sun Oct 07 03:33:03 +0000 2018,0.462,0.0,0.538,66,CBSNews
66,0.4215,Sun Oct 07 03:18:03 +0000 2018,0.823,0.0,0.177,67,CBSNews
67,0.0,Sun Oct 07 03:03:03 +0000 2018,1.0,0.0,0.0,68,CBSNews
68,-0.6705,Sun Oct 07 02:54:06 +0000 2018,0.71,0.29,0.0,69,CBSNews
69,0.3182,Sun Oct 07 02:48:03 +0000 2018,0.827,0.0,0.173,70,CBSNews
70,0.2584,Sun Oct 07 02:33:04 +0000 2018,0.855,0.0,0.145,71,CBSNews
71,-0.7717,Sun Oct 07 02:24:05 +0000 2018,0.544,0.456,0.0,72,CBSNews
72,0.0,Sun Oct 07 02:18:03 +0000 2018,1.0,0.0,0.0,73,CBSNews
73,0.6369,Sun Oct 07 02:03:03 +0000 2018,0.756,0.0,0.244,74,CBSNews
74,-0.25,Sun Oct 07 01:48:03 +0000 2018,0.818,0.182,0.0,75,CBSNews
75,-0.296,Sun Oct 07 01:33:03 +0000 2018,0.82,0.18,0.0,76,CBSNews
76,0.8316,Sun Oct 07 01:18:03 +0000 2018,0.577,0.0,0.423,77,CBSNews
77,-0.6124,Sun Oct 07 01:03:04 +0000 2018,0.688,0.312,0.0,78,CBSNews
78,0.0772,Sun Oct 07 00:48:03 +0000 2018,0.733,0.126,0.141,79,CBSNews
79,0.7717,Sun Oct 07 00:40:09 +0000 2018,0.573,0.0,0.427,80,CBSNews
80,0.4019,Sun Oct 07 00:33:03 +0000 2018,0.856,0.0,0.144,81,CBSNews
81,0.5267,Sun Oct 07 00:18:04 +0000 2018,0.746,0.0,0.254,82,CBSNews
82,0.0,Sun Oct 07 00:13:46 +0000 2018,1.0,0.0,0.0,83,CBSNews
83,-0.6124,Sun Oct 07 00:08:36 +0000 2018,0.583,0.417,0.0,84,CBSNews
84,0.0,Sun Oct 07 00:03:03 +0000 2018,1.0,0.0,0.0,85,CBSNews
85,0.4019,Sat Oct 06 23:59:04 +0000 2018,0.881,0.0,0.119,86,CBSNews
86,0.2023,Sat Oct 06 23:48:03 +0000 2018,0.588,0.176,0.235,87,CBSNews
87,0.5574,Sat Oct 06 23:39:27 +0000 2018,0.816,0.0,0.184,88,CBSNews
88,-0.3182,Sat Oct 06 23:36:30 +0000 2018,0.649,0.203,0.147,89,CBSNews
89,0.3182,Sat Oct 06 23:33:03 +0000 2018,0.827,0.0,0.173,90,CBSNews
90,-0.4201,Sat Oct 06 23:30:17 +0000 2018,0.851,0.149,0.0,91,CBSNews
91,-0.9274,Sat Oct 06 23:18:04 +0000 2018,0.469,0.531,0.0,92,CBSNews
92,0.0,Sat Oct 06 23:14:07 +0000 2018,1.0,0.0,0.0,93,CBSNews
93,0.5574,Sat Oct 06 23:07:53 +0000 2018,0.769,0.0,0.231,94,CBSNews
94,0.0,Sat Oct 06 23:03:06 +0000 2018,1.0,0.0,0.0,95,CBSNews
95,0.2323,Sat Oct 06 23:01:11 +0000 2018,0.903,0.0,0.097,96,CBSNews
96,-0.2023,Sat Oct 06 22:20:14 +0000 2018,0.617,0.21,0.172,97,CBSNews
97,0.2732,Sat Oct 06 22:00:01 +0000 2018,0.896,0.0,0.104,98,CBSNews
98,-0.2057,Sat Oct 06 21:29:44 +0000 2018,0.908,0.092,0.0,99,CBSNews
99,0.6486,Sat Oct 06 20:41:15 +0000 2018,0.751,0.0,0.249,100,CBSNews
