,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,0.3182,Sun Oct 07 18:15:05 +0000 2018,0.874,0.0,0.126,1,CNN
1,-0.296,Sun Oct 07 18:00:09 +0000 2018,0.896,0.104,0.0,2,CNN
2,0.5267,Sun Oct 07 17:45:07 +0000 2018,0.855,0.0,0.145,3,CNN
3,-0.296,Sun Oct 07 17:30:04 +0000 2018,0.75,0.15,0.1,4,CNN
4,0.0,Sun Oct 07 17:15:06 +0000 2018,1.0,0.0,0.0,5,CNN
5,0.0,Sun Oct 07 17:00:03 +0000 2018,1.0,0.0,0.0,6,CNN
6,0.0,Sun Oct 07 16:45:06 +0000 2018,1.0,0.0,0.0,7,CNN
7,0.7184,Sun Oct 07 16:30:15 +0000 2018,0.778,0.0,0.222,8,CNN
8,-0.8225,Sun Oct 07 16:08:27 +0000 2018,0.725,0.275,0.0,9,CNN
9,0.0,Sun Oct 07 16:01:07 +0000 2018,1.0,0.0,0.0,10,CNN
10,0.4404,Sun Oct 07 15:45:05 +0000 2018,0.873,0.0,0.127,11,CNN
11,-0.4865,Sun Oct 07 15:23:22 +0000 2018,0.841,0.159,0.0,12,CNN
12,-0.5574,Sun Oct 07 15:01:07 +0000 2018,0.783,0.217,0.0,13,CNN
13,-0.7414,Sun Oct 07 14:40:00 +0000 2018,0.718,0.282,0.0,14,CNN
14,-0.2023,Sun Oct 07 14:31:00 +0000 2018,0.913,0.087,0.0,15,CNN
15,0.4019,Sun Oct 07 14:30:02 +0000 2018,0.838,0.0,0.162,16,CNN
16,0.5106,Sun Oct 07 14:15:02 +0000 2018,0.858,0.0,0.142,17,CNN
17,-0.4588,Sun Oct 07 13:58:42 +0000 2018,0.85,0.15,0.0,18,CNN
18,0.1536,Sun Oct 07 13:48:26 +0000 2018,0.732,0.122,0.146,19,CNN
19,0.0,Sun Oct 07 13:45:33 +0000 2018,1.0,0.0,0.0,20,CNN
20,-0.5267,Sun Oct 07 13:39:49 +0000 2018,0.855,0.145,0.0,21,CNN
21,0.7964,Sun Oct 07 13:31:00 +0000 2018,0.717,0.0,0.283,22,CNN
22,0.6808,Sun Oct 07 13:28:31 +0000 2018,0.763,0.0,0.237,23,CNN
23,-0.6072,Sun Oct 07 13:18:04 +0000 2018,0.793,0.207,0.0,24,CNN
24,0.0,Sun Oct 07 13:12:59 +0000 2018,1.0,0.0,0.0,25,CNN
25,-0.2431,Sun Oct 07 13:10:51 +0000 2018,0.708,0.172,0.119,26,CNN
26,0.5719,Sun Oct 07 13:01:09 +0000 2018,0.837,0.0,0.163,27,CNN
27,0.0,Sun Oct 07 12:31:00 +0000 2018,1.0,0.0,0.0,28,CNN
28,0.0,Sun Oct 07 12:00:29 +0000 2018,1.0,0.0,0.0,29,CNN
29,0.0,Sun Oct 07 11:31:00 +0000 2018,1.0,0.0,0.0,30,CNN
30,0.2732,Sun Oct 07 11:01:03 +0000 2018,0.909,0.0,0.091,31,CNN
31,0.0,Sun Oct 07 10:31:00 +0000 2018,1.0,0.0,0.0,32,CNN
32,-0.2023,Sun Oct 07 10:01:07 +0000 2018,0.886,0.114,0.0,33,CNN
33,0.0,Sun Oct 07 09:31:00 +0000 2018,1.0,0.0,0.0,34,CNN
34,-0.8481,Sun Oct 07 09:29:04 +0000 2018,0.649,0.351,0.0,35,CNN
35,0.6705,Sun Oct 07 09:01:14 +0000 2018,0.524,0.154,0.322,36,CNN
36,0.0,Sun Oct 07 08:31:00 +0000 2018,1.0,0.0,0.0,37,CNN
37,0.25,Sun Oct 07 08:01:05 +0000 2018,0.905,0.0,0.095,38,CNN
38,0.5994,Sun Oct 07 07:31:00 +0000 2018,0.804,0.0,0.196,39,CNN
39,-0.3384,Sun Oct 07 07:01:05 +0000 2018,0.888,0.112,0.0,40,CNN
40,-0.3818,Sun Oct 07 06:42:01 +0000 2018,0.625,0.246,0.129,41,CNN
41,0.0,Sun Oct 07 06:31:00 +0000 2018,1.0,0.0,0.0,42,CNN
42,0.0,Sun Oct 07 06:01:06 +0000 2018,1.0,0.0,0.0,43,CNN
43,0.4927,Sun Oct 07 05:31:00 +0000 2018,0.856,0.0,0.144,44,CNN
44,0.0,Sun Oct 07 05:01:02 +0000 2018,1.0,0.0,0.0,45,CNN
45,0.0,Sun Oct 07 04:31:00 +0000 2018,1.0,0.0,0.0,46,CNN
46,0.25,Sun Oct 07 04:01:05 +0000 2018,0.905,0.0,0.095,47,CNN
47,-0.6369,Sun Oct 07 03:26:32 +0000 2018,0.766,0.234,0.0,48,CNN
48,0.0,Sun Oct 07 03:20:04 +0000 2018,1.0,0.0,0.0,49,CNN
49,0.296,Sun Oct 07 03:00:09 +0000 2018,0.522,0.194,0.284,50,CNN
50,0.0,Sun Oct 07 02:32:03 +0000 2018,1.0,0.0,0.0,51,CNN
51,0.8442,Sun Oct 07 02:00:05 +0000 2018,0.606,0.0,0.394,52,CNN
52,0.0,Sun Oct 07 01:30:10 +0000 2018,1.0,0.0,0.0,53,CNN
53,-0.4019,Sun Oct 07 01:00:12 +0000 2018,0.838,0.162,0.0,54,CNN
54,-0.0258,Sun Oct 07 00:55:06 +0000 2018,0.916,0.084,0.0,55,CNN
55,0.0772,Sun Oct 07 00:28:02 +0000 2018,0.925,0.0,0.075,56,CNN
56,0.0,Sun Oct 07 00:00:18 +0000 2018,1.0,0.0,0.0,57,CNN
57,0.6369,Sat Oct 06 23:34:03 +0000 2018,0.529,0.135,0.337,58,CNN
58,0.7906,Sat Oct 06 23:16:01 +0000 2018,0.611,0.0,0.389,59,CNN
59,0.0,Sat Oct 06 23:01:07 +0000 2018,1.0,0.0,0.0,60,CNN
60,0.0,Sat Oct 06 22:38:02 +0000 2018,1.0,0.0,0.0,61,CNN
61,0.4019,Sat Oct 06 22:17:24 +0000 2018,0.787,0.0,0.213,62,CNN
62,0.8439,Sat Oct 06 22:15:11 +0000 2018,0.712,0.0,0.288,63,CNN
63,0.5574,Sat Oct 06 22:14:40 +0000 2018,0.783,0.0,0.217,64,CNN
64,-0.1027,Sat Oct 06 21:52:19 +0000 2018,0.924,0.076,0.0,65,CNN
65,0.4019,Sat Oct 06 21:50:18 +0000 2018,0.776,0.078,0.147,66,CNN
66,0.0,Sat Oct 06 21:34:54 +0000 2018,1.0,0.0,0.0,67,CNN
67,0.7269,Sat Oct 06 21:13:47 +0000 2018,0.697,0.0,0.303,68,CNN
68,0.0,Sat Oct 06 20:47:55 +0000 2018,1.0,0.0,0.0,69,CNN
69,0.5719,Sat Oct 06 20:42:55 +0000 2018,0.824,0.0,0.176,70,CNN
70,0.0,Sat Oct 06 20:37:01 +0000 2018,1.0,0.0,0.0,71,CNN
71,0.296,Sat Oct 06 20:28:40 +0000 2018,0.522,0.194,0.284,72,CNN
72,0.5574,Sat Oct 06 20:12:33 +0000 2018,0.841,0.0,0.159,73,CNN
73,0.5574,Sat Oct 06 20:03:58 +0000 2018,0.783,0.0,0.217,74,CNN
74,0.0,Sat Oct 06 19:49:14 +0000 2018,1.0,0.0,0.0,75,CNN
75,-0.4019,Sat Oct 06 19:43:32 +0000 2018,0.747,0.162,0.091,76,CNN
76,0.0,Sat Oct 06 19:33:17 +0000 2018,1.0,0.0,0.0,77,CNN
77,0.6249,Sat Oct 06 19:25:07 +0000 2018,0.814,0.0,0.186,78,CNN
78,0.0,Sat Oct 06 19:07:24 +0000 2018,1.0,0.0,0.0,79,CNN
79,0.5574,Sat Oct 06 18:43:10 +0000 2018,0.816,0.0,0.184,80,CNN
80,0.0,Sat Oct 06 18:23:46 +0000 2018,1.0,0.0,0.0,81,CNN
81,-0.3384,Sat Oct 06 17:59:41 +0000 2018,0.888,0.112,0.0,82,CNN
