,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,0.5267,Sun Oct 07 18:20:16 +0000 2018,0.804,0.0,0.196,1,FoxNews
1,0.1027,Sun Oct 07 18:17:51 +0000 2018,0.787,0.097,0.116,2,FoxNews
2,0.4215,Sun Oct 07 18:12:48 +0000 2018,0.833,0.0,0.167,3,FoxNews
3,0.0,Sun Oct 07 18:00:32 +0000 2018,1.0,0.0,0.0,4,FoxNews
4,0.5919,Sun Oct 07 18:00:01 +0000 2018,0.778,0.0,0.222,5,FoxNews
5,-0.3875,Sun Oct 07 17:51:12 +0000 2018,0.859,0.141,0.0,6,FoxNews
6,0.0,Sun Oct 07 17:44:31 +0000 2018,1.0,0.0,0.0,7,FoxNews
7,0.4404,Sun Oct 07 17:39:07 +0000 2018,0.734,0.0,0.266,8,FoxNews
8,0.5574,Sun Oct 07 17:34:47 +0000 2018,0.833,0.0,0.167,9,FoxNews
9,0.3818,Sun Oct 07 17:26:40 +0000 2018,0.867,0.0,0.133,10,FoxNews
10,-0.3612,Sun Oct 07 17:18:27 +0000 2018,0.783,0.217,0.0,11,FoxNews
11,-0.34,Sun Oct 07 17:13:02 +0000 2018,0.821,0.179,0.0,12,FoxNews
12,0.624,Sun Oct 07 17:11:43 +0000 2018,0.815,0.0,0.185,13,FoxNews
13,0.0191,Sun Oct 07 17:10:00 +0000 2018,0.865,0.066,0.069,14,FoxNews
14,0.0,Sun Oct 07 17:06:33 +0000 2018,1.0,0.0,0.0,15,FoxNews
15,0.0,Sun Oct 07 17:02:24 +0000 2018,1.0,0.0,0.0,16,FoxNews
16,0.6124,Sun Oct 07 16:53:33 +0000 2018,0.688,0.0,0.312,17,FoxNews
17,0.0,Sun Oct 07 16:43:36 +0000 2018,1.0,0.0,0.0,18,FoxNews
18,0.0258,Sun Oct 07 16:40:18 +0000 2018,0.927,0.0,0.073,19,FoxNews
19,0.0,Sun Oct 07 16:34:14 +0000 2018,1.0,0.0,0.0,20,FoxNews
20,-0.4215,Sun Oct 07 16:29:17 +0000 2018,0.676,0.203,0.122,21,FoxNews
21,0.0,Sun Oct 07 16:24:25 +0000 2018,1.0,0.0,0.0,22,FoxNews
22,0.6249,Sun Oct 07 16:18:12 +0000 2018,0.806,0.0,0.194,23,FoxNews
23,0.7906,Sun Oct 07 16:11:47 +0000 2018,0.667,0.0,0.333,24,FoxNews
24,0.0191,Sun Oct 07 16:09:00 +0000 2018,0.865,0.066,0.069,25,FoxNews
25,-0.4588,Sun Oct 07 16:07:41 +0000 2018,0.833,0.167,0.0,26,FoxNews
26,-0.5423,Sun Oct 07 15:58:17 +0000 2018,0.503,0.337,0.161,27,FoxNews
27,0.5267,Sun Oct 07 15:57:09 +0000 2018,0.833,0.0,0.167,28,FoxNews
28,0.0,Sun Oct 07 15:45:01 +0000 2018,1.0,0.0,0.0,29,FoxNews
29,0.0,Sun Oct 07 15:37:56 +0000 2018,1.0,0.0,0.0,30,FoxNews
30,0.0,Sun Oct 07 15:29:51 +0000 2018,1.0,0.0,0.0,31,FoxNews
31,-0.7003,Sun Oct 07 15:24:58 +0000 2018,0.721,0.279,0.0,32,FoxNews
32,0.2263,Sun Oct 07 15:20:43 +0000 2018,0.905,0.0,0.095,33,FoxNews
33,0.0,Sun Oct 07 15:10:12 +0000 2018,1.0,0.0,0.0,34,FoxNews
34,-0.4019,Sun Oct 07 15:07:55 +0000 2018,0.769,0.231,0.0,35,FoxNews
35,-0.6836,Sun Oct 07 15:01:02 +0000 2018,0.741,0.259,0.0,36,FoxNews
36,0.0,Sun Oct 07 14:54:43 +0000 2018,1.0,0.0,0.0,37,FoxNews
37,-0.3612,Sun Oct 07 14:53:11 +0000 2018,0.894,0.106,0.0,38,FoxNews
38,0.4019,Sun Oct 07 14:49:02 +0000 2018,0.881,0.0,0.119,39,FoxNews
39,0.0186,Sun Oct 07 14:43:06 +0000 2018,0.724,0.136,0.14,40,FoxNews
40,0.4767,Sun Oct 07 14:36:36 +0000 2018,0.853,0.0,0.147,41,FoxNews
41,-0.2006,Sun Oct 07 14:23:30 +0000 2018,0.647,0.194,0.16,42,FoxNews
42,-0.4767,Sun Oct 07 14:12:41 +0000 2018,0.838,0.162,0.0,43,FoxNews
43,0.0,Sun Oct 07 14:10:23 +0000 2018,1.0,0.0,0.0,44,FoxNews
44,0.5777,Sun Oct 07 14:07:45 +0000 2018,0.777,0.0,0.223,45,FoxNews
45,-0.8225,Sun Oct 07 13:58:56 +0000 2018,0.631,0.369,0.0,46,FoxNews
46,-0.5574,Sun Oct 07 13:49:59 +0000 2018,0.723,0.277,0.0,47,FoxNews
47,0.0,Sun Oct 07 13:45:11 +0000 2018,1.0,0.0,0.0,48,FoxNews
48,0.8173,Sun Oct 07 13:43:01 +0000 2018,0.706,0.0,0.294,49,FoxNews
49,0.0,Sun Oct 07 13:34:32 +0000 2018,1.0,0.0,0.0,50,FoxNews
50,0.0,Sun Oct 07 13:32:40 +0000 2018,1.0,0.0,0.0,51,FoxNews
51,0.0,Sun Oct 07 13:25:53 +0000 2018,1.0,0.0,0.0,52,FoxNews
52,-0.765,Sun Oct 07 13:17:48 +0000 2018,0.515,0.485,0.0,53,FoxNews
53,0.0,Sun Oct 07 13:11:56 +0000 2018,1.0,0.0,0.0,54,FoxNews
54,0.0,Sun Oct 07 13:07:12 +0000 2018,1.0,0.0,0.0,55,FoxNews
55,0.9081,Sun Oct 07 13:01:20 +0000 2018,0.47,0.0,0.53,56,FoxNews
56,0.0191,Sun Oct 07 13:00:01 +0000 2018,0.842,0.077,0.081,57,FoxNews
57,-0.0516,Sun Oct 07 12:58:28 +0000 2018,0.93,0.07,0.0,58,FoxNews
58,0.624,Sun Oct 07 12:52:24 +0000 2018,0.815,0.0,0.185,59,FoxNews
59,0.0,Sun Oct 07 12:46:21 +0000 2018,1.0,0.0,0.0,60,FoxNews
60,-0.6808,Sun Oct 07 12:40:57 +0000 2018,0.741,0.259,0.0,61,FoxNews
61,0.0,Sun Oct 07 12:30:40 +0000 2018,1.0,0.0,0.0,62,FoxNews
62,0.7351,Sun Oct 07 12:27:58 +0000 2018,0.733,0.0,0.267,63,FoxNews
63,0.0,Sun Oct 07 12:21:32 +0000 2018,1.0,0.0,0.0,64,FoxNews
64,0.34,Sun Oct 07 12:11:45 +0000 2018,0.882,0.0,0.118,65,FoxNews
65,0.0191,Sun Oct 07 12:10:00 +0000 2018,0.842,0.077,0.081,66,FoxNews
66,-0.5106,Sun Oct 07 12:08:39 +0000 2018,0.699,0.301,0.0,67,FoxNews
67,0.0,Sun Oct 07 12:04:27 +0000 2018,1.0,0.0,0.0,68,FoxNews
68,0.0,Sun Oct 07 11:58:28 +0000 2018,1.0,0.0,0.0,69,FoxNews
69,-0.6808,Sun Oct 07 11:56:51 +0000 2018,0.663,0.337,0.0,70,FoxNews
70,0.4939,Sun Oct 07 11:53:10 +0000 2018,0.842,0.0,0.158,71,FoxNews
71,0.5574,Sun Oct 07 11:45:43 +0000 2018,0.66,0.0,0.34,72,FoxNews
72,0.1027,Sun Oct 07 11:33:00 +0000 2018,0.909,0.0,0.091,73,FoxNews
73,0.34,Sun Oct 07 11:27:32 +0000 2018,0.756,0.092,0.151,74,FoxNews
74,0.0,Sun Oct 07 11:19:06 +0000 2018,1.0,0.0,0.0,75,FoxNews
75,0.0,Sun Oct 07 11:12:50 +0000 2018,1.0,0.0,0.0,76,FoxNews
76,-0.34,Sun Oct 07 11:08:59 +0000 2018,0.606,0.25,0.144,77,FoxNews
77,-0.7579,Sun Oct 07 11:01:00 +0000 2018,0.649,0.351,0.0,78,FoxNews
78,0.0,Sun Oct 07 10:45:00 +0000 2018,1.0,0.0,0.0,79,FoxNews
79,-0.6486,Sun Oct 07 10:37:00 +0000 2018,0.65,0.35,0.0,80,FoxNews
80,0.8074,Sun Oct 07 10:29:00 +0000 2018,0.7,0.0,0.3,81,FoxNews
81,-0.3818,Sun Oct 07 10:21:00 +0000 2018,0.852,0.148,0.0,82,FoxNews
82,0.0,Sun Oct 07 10:15:00 +0000 2018,1.0,0.0,0.0,83,FoxNews
83,-0.6705,Sun Oct 07 10:08:01 +0000 2018,0.743,0.257,0.0,84,FoxNews
