,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,0.0,Sun Oct 07 18:10:04 +0000 2018,1.0,0.0,0.0,1,nytimes
1,0.7269,Sun Oct 07 17:55:05 +0000 2018,0.661,0.057,0.282,2,nytimes
2,-0.6705,Sun Oct 07 17:40:07 +0000 2018,0.809,0.191,0.0,3,nytimes
3,-0.25,Sun Oct 07 17:35:31 +0000 2018,0.846,0.154,0.0,4,nytimes
4,0.0,Sun Oct 07 17:25:08 +0000 2018,1.0,0.0,0.0,5,nytimes
5,0.0,Sun Oct 07 17:10:03 +0000 2018,1.0,0.0,0.0,6,nytimes
6,-0.4215,Sun Oct 07 16:54:30 +0000 2018,0.702,0.186,0.112,7,nytimes
7,-0.7845,Sun Oct 07 16:50:02 +0000 2018,0.691,0.262,0.047,8,nytimes
8,0.0,Sun Oct 07 16:35:05 +0000 2018,1.0,0.0,0.0,9,nytimes
9,0.0,Sun Oct 07 16:20:04 +0000 2018,0.746,0.127,0.127,10,nytimes
10,-0.5267,Sun Oct 07 16:10:02 +0000 2018,0.871,0.129,0.0,11,nytimes
11,0.296,Sun Oct 07 16:05:04 +0000 2018,0.756,0.087,0.157,12,nytimes
12,0.25,Sun Oct 07 15:51:04 +0000 2018,0.895,0.0,0.105,13,nytimes
13,0.0,Sun Oct 07 15:38:16 +0000 2018,1.0,0.0,0.0,14,nytimes
14,-0.7906,Sun Oct 07 15:36:44 +0000 2018,0.72,0.28,0.0,15,nytimes
15,-0.34,Sun Oct 07 15:27:28 +0000 2018,0.882,0.118,0.0,16,nytimes
16,0.0,Sun Oct 07 15:25:08 +0000 2018,1.0,0.0,0.0,17,nytimes
17,0.0,Sun Oct 07 15:22:01 +0000 2018,1.0,0.0,0.0,18,nytimes
18,0.0,Sun Oct 07 15:15:03 +0000 2018,1.0,0.0,0.0,19,nytimes
19,0.0,Sun Oct 07 15:05:43 +0000 2018,1.0,0.0,0.0,20,nytimes
20,0.0258,Sun Oct 07 15:00:03 +0000 2018,0.8,0.098,0.102,21,nytimes
21,0.4939,Sun Oct 07 14:45:04 +0000 2018,0.63,0.097,0.273,22,nytimes
22,-0.6597,Sun Oct 07 14:38:08 +0000 2018,0.652,0.27,0.078,23,nytimes
23,0.0,Sun Oct 07 14:15:02 +0000 2018,1.0,0.0,0.0,24,nytimes
24,-0.6124,Sun Oct 07 14:07:41 +0000 2018,0.58,0.264,0.156,25,nytimes
25,0.0,Sun Oct 07 13:53:05 +0000 2018,1.0,0.0,0.0,26,nytimes
26,-0.4767,Sun Oct 07 13:45:06 +0000 2018,0.576,0.276,0.148,27,nytimes
27,0.0,Sun Oct 07 13:30:08 +0000 2018,1.0,0.0,0.0,28,nytimes
